Filename,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Closest Text Type
10040_15,-16.15,-2.95,21.92,3.56,0.74,2.39,Learned exposition
10040_23,-22.96,-3.77,10.4,-6.49,1.65,-2.38,Learned exposition
10040_24,-20.76,-5.42,11.01,-0.45,1.12,-3.07,Learned exposition
10040_25,-31.36,-5.57,7.49,-8.32,-2.69,-2.24,Learned exposition
10040_9,-23.78,-5.13,9.84,-5.19,-0.22,-3.5,Learned exposition
10101_14,-22.34,-5.25,9.68,-6.86,0.3,-2.64,Learned exposition
10266_10,-21.46,-7.38,10.25,-9.27,-2.88,-3.5,Learned exposition
10266_16,-21.36,-4.63,12.2,-7.03,0.31,-2.34,Learned exposition
10266_17,-18.35,-5.66,7.76,1.74,-0.51,1.45,Learned exposition
10266_18,-17.12,-6.13,6.18,2.01,2.9,0.53,Learned exposition
10266_20,-33.83,-7.12,7.78,-8.72,-1.4,-3.12,Learned exposition
10363_15,-20.07,-5.89,16.6,-8.38,-1.98,-3.5,Learned exposition
10363_16,-24.3,-6.35,11.99,-8.75,-1.62,-3.5,Learned exposition
10363_17,-14.24,-5.57,10.57,-7.93,3.19,-3.5,Learned exposition
10363_19,-21.53,-3.07,10.41,-6.28,5.59,-2.4,Learned exposition
10363_20,-19.54,-4.18,10.02,-7.07,1.89,-2.24,Learned exposition
10363_21,-24.98,-5.62,11.63,-8.49,-0.83,-3.5,Learned exposition
10372_10,-18.77,-0.96,6.81,-6.18,8.68,-1.52,Scientific exposition
10372_13,-24.65,-5.01,9.12,-6.18,1.87,-2.4,Learned exposition
10372_15,-20.96,-3.62,8.97,-4.32,1.25,-1.88,Learned exposition
10372_5,-7.86,-3.27,2.73,-6.01,0.87,-3.5,General narrative exposition
10372_6,-7.86,-3.27,2.73,-6.01,0.87,-3.5,General narrative exposition
10372_7,-20.68,-2.65,3.69,-9.27,-0.14,-3.5,Learned exposition
10372_8,-24.98,-7.15,17.7,-9.27,-3.92,-3.5,Learned exposition
