Filename,Tokens,AWL,TTR,AMP,ANDC,[BEMA],[BYPA],CAUS,CONC,COND,CONJ,[CONT],DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,[PASS],[PASTP],[PEAS],PHC,PIN,[PIRE],PIT,PLACE,POMD,PRED,[PRESP],[PRIV],PRMD,[PROD],[PUBV],RB,[SERE],[SMP],[SPAU],[SPIN],SPP2,[STPR],[SUAV],SYNE,THAC,[THATD],THVC,TIME,TO,TOBJ,TPP3,TSUB,VBD,VPRT,[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],XX0,
10040_15,199,5.41,109,0,1.01,2.01,0,0,0,0.50,0.50,0,1.01,0,0,0,0,0,0,1.51,0,0,9.05,0,21.11,6.53,0,1.01,0,0.50,3.02,12.56,0,0.50,0,0,2.51,0,1.01,0.50,0,1.51,1.51,0,0,0,0,0,0,1.51,0,0,0,1.01,0,2.51,0,1.51,0.50,0,4.52,0,0.50,0,0.50,0,0,0,
10040_23,7352,5.30,188,0.01,0.05,0.41,0.10,0,0,0.08,0.08,0,0.37,0.07,0,0.05,0.42,0.04,0.11,0.91,0,0,6.80,0,30.93,5.14,0.04,2.00,0,0.42,1.61,12.27,0.16,0.39,0.23,0.08,0.16,0.10,1.12,0.27,0,0.31,0.69,0.03,0,0.07,0,0,0,0.14,0.19,0.01,0.05,0.07,0.10,0.58,0.05,0.18,0.08,1.16,3.03,0,0,0,0.12,0.52,0.58,0.45,
10040_24,549,5.41,232,0,0,1.64,0.18,0,0,0.18,0.18,0,0.18,0.55,0,0.36,0.36,0,0,0.55,0,0,3.64,0.73,34.97,3.83,0,1.82,0,0.55,1.64,10.56,0,0.18,0.18,0.91,1.09,0,0.91,0.73,0,0,1.82,0,0.18,0,0,0,0,0.36,0,0,0,0,0.18,0.91,0,1.64,0,0.55,3.46,0,0,0,0.55,0.36,0.73,0.18,
10040_25,379,5.42,279,0,0,0.26,0,0,0,0,0,0,0.53,0,0,0,0,0,0.53,1.85,0,0,7.12,0,44.06,2.64,0,0.26,0,0.53,1.58,6.33,0,0.26,0.26,0,0.26,0,0.53,0,0,0.26,0.53,0,0,0,0,0,0,0,0,0,0.26,0,0.26,0.53,0,0.26,0,0.53,2.64,0,0,0,0,0.26,0.53,0.26,
10040_9,386,5.71,244,0.26,0,0.52,0,0,0,0,0.26,0,0,0,0,0.26,1.04,0,1.04,0.26,0,0,9.07,0,33.42,4.92,0,0.26,0,0,2.07,10.36,0.26,0.52,0.52,0.78,0.26,0.26,0.26,0.78,0,0,2.33,0.26,0,0,0,0.52,0,0.26,0,0,0,0,0,0.78,0.26,1.04,0.52,0.78,3.37,0,0,0,0,0.52,0.78,0.26,
10101_14,8587,5.21,181,0.03,0.06,0.48,0.16,0,0,0.08,0.06,0,0.26,0.03,0,0.03,0.26,0.05,0.06,1.56,0,0,6.71,0.06,28.40,5.08,0,1.39,0.01,0.28,1.36,10.97,0.13,0.20,0.17,0.16,0.14,0.07,0.72,0.16,0,0.35,0.64,0.08,0,0.06,0,0.07,0.01,0.10,0.02,0,0.03,0.07,0.07,0.45,0.02,0.20,0.06,1.01,2.59,0.02,0.01,0,0.10,0.54,0.65,0.21,
10266_10,145,5.77,106,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,6.90,0,55.86,6.21,0,0.69,0,0,1.38,4.83,0,0,0,2.07,0,0,0.69,0,0,0,1.38,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0.69,0,
10266_16,11303,4.99,164,0.02,0.04,0.97,0.08,0.01,0.01,0.04,0.08,0,0.31,0.12,0,0.03,0.21,0.04,0.12,1.65,0,0.01,5.84,0,34.12,5.45,0.02,1.43,0.09,0.31,1.88,10.87,0.11,0.27,0.12,0.10,0.29,0.07,0.96,0.20,0,0.27,0.50,0.07,0.01,0.08,0,0.01,0,0.17,0.13,0.01,0.07,0.12,0.06,0.40,0,0.15,0.01,1.11,2.45,0,0.01,0,0.12,0.43,0.73,0.19,
10266_17,718,4.84,182,0,0.28,0.70,0.14,0,0,0.42,0,0,1.67,0.14,0,0.14,0,0,0,1.11,0,0,6.13,0,24.37,5.85,0,1.95,0,0.14,0.28,15.32,0.28,0.56,0.14,0.97,0.28,0,1.11,0.70,0,0.56,0.97,0,0,0,0,0,0,0.84,0,0,0,0.28,0.28,2.65,0.14,0,0.14,1.25,2.09,0,0,0,0.56,0.14,1.53,0.42,
10266_18,736,4.71,183,0,0.41,1.22,0,0,0,0.14,0.14,0,1.49,0.14,0,0.41,0.27,0.14,0,2.04,0,0,5.30,0.14,24.73,4.48,0,1.90,0,0,0.54,15.49,0.14,0.14,0.41,1.09,0.54,0,0.54,0.82,0,0,1.09,0,0,0.27,0,0,0,0.95,0.14,0,0,0.14,0.27,2.17,0,0.54,0,0.41,2.17,0,0,0,0.41,0.95,0.82,0.41,
10266_20,640,5.50,279,0,0,0.16,0,0,0,0,0.16,0,0.16,0,0,0,0,0,0.63,0.94,0,0,3.91,0,50.00,2.34,0,0,0,0,1.25,6.09,0,0.16,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0.78,0.47,0,0,0,0,0.47,0.78,0,
10363_15,402,5.34,184,0,0,0.50,0,0,0,0,0,0,0,0,0,0,0.25,0,0.50,3.48,0,0,6.22,0,25.12,8.71,0,0.75,0,0.25,2.49,8.46,0.25,0,0,0.25,0,0,1.49,0,0,0.50,0.50,0,0,0,0,0,0,0,0,0,0.25,0,0,0.50,0,0,0,0.25,2.24,0,0,0,0,0.25,1.00,0,
