Filename,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Closest Text Type
10041_22,-21.83,-4.03,9.34,-6.51,1.41,-2.45,Learned exposition
10041_23,-21.17,-4.73,8.72,0.31,1.35,-3.14,Learned exposition
10041_24,-26.04,-3.56,7.76,-8.27,-1.33,-2.16,Learned exposition
10174_6,-21.53,-4.12,8.79,-3.97,1.59,-1.4,Learned exposition
10364_10,-23.68,-5.74,15.3,-8.29,-1.81,-3.5,Learned exposition
10364_12,-15.37,-4.68,12.46,-8.72,2.84,-3.5,Learned exposition
10364_14,-22.2,-3.38,8.89,-6.2,5.78,-2.35,Learned exposition
10364_15,-19.34,-3.84,9.65,-6.64,2.15,-2.33,Learned exposition
10364_16,-25.99,-6.42,11.95,-8.82,-3.11,-3.5,Learned exposition
10364_18,-26.33,-6.96,5.11,-5.03,-1.09,-2.02,Learned exposition
10373_14,-23.63,-4.38,9.88,-5.71,1.94,-2.35,Learned exposition
10373_15,-23,-3.99,8.61,-4.3,0.86,-1.81,Learned exposition
10373_9,-19.64,-7.23,12.09,-8.47,-2.46,-2.43,Learned exposition
10386_14,-24.2,-7.19,13.06,-9.27,-3.92,-3.5,Learned exposition
10386_15,-23.26,-7.12,9.08,-9.27,-3.92,-3.5,Learned exposition
10386_17,-22.66,-2.08,11.24,-4.84,4.05,-1.52,Learned exposition
10386_18,-25.68,-3.96,7.82,-6.95,0.13,-2.17,Learned exposition
10386_20,-18.28,-5.7,5.2,-0.28,1.29,1.79,Learned exposition
10418_10,-23.46,-3.22,13.31,-3.22,1.27,0.45,Learned exposition
10418_14,-21.39,-6.4,12.63,-8.08,-1.36,-2.12,Learned exposition
10418_15,-21.87,-5.19,10.35,-7.05,0.9,-2.7,Learned exposition
10418_16,-23.35,-5.72,7.28,-6.77,0.37,-3.5,Learned exposition
10418_18,-19.79,-4.32,8.69,-2.74,2.44,-1.69,Learned exposition
10418_19,-17.49,-3.33,7.79,-4.84,-1.93,-1.24,Learned exposition
10418_20,-25.4,-4.82,-6.61,-0.61,-3.92,-3.5,Learned exposition
10418_21,-26.08,-4.42,9.37,-3.66,-2.83,-3.5,Learned exposition
10418_22,-19.49,-4.05,7.93,-3.77,0.11,-1.9,Learned exposition
1050_13,-24.18,-2.19,11.49,-9.27,-1.47,-2.54,Learned exposition
1050_14,-19.61,-4.25,23.97,-7.88,-0.22,-3.5,Learned exposition
1050_15,-21.47,-7.38,11.2,-9.27,-3.3,-2.52,Learned exposition
1050_16,-22.45,-7.38,11.09,-9.27,0.57,-2.16,Learned exposition
1050_18,-23.22,-4.64,10.38,-6.98,1.39,-2.45,Learned exposition
1050_19,-21.7,-4.47,10.51,0.45,1.39,-1.14,Learned exposition
