Filename,Tokens,AWL,TTR,AMP,ANDC,[BEMA],[BYPA],CAUS,CONC,COND,CONJ,[CONT],DEMO,DEMP,DPAR,DWNT,EMPH,EX,FPP1,GER,HDG,INPR,JJ,NEMD,NN,NOMZ,OSUB,[PASS],[PASTP],[PEAS],PHC,PIN,[PIRE],PIT,PLACE,POMD,PRED,[PRESP],[PRIV],PRMD,[PROD],[PUBV],RB,[SERE],[SMP],[SPAU],[SPIN],SPP2,[STPR],[SUAV],SYNE,THAC,[THATD],THVC,TIME,TO,TOBJ,TPP3,TSUB,VBD,VPRT,[WHCL],[WHOBJ],[WHQU],[WHSUB],[WZPAST],[WZPRES],XX0,
10041_22,10010,5.34,173,0.01,0.10,0.50,0.12,0.03,0,0.07,0.11,0,0.34,0.08,0,0.03,0.33,0.04,0.10,1.01,0,0.01,6.72,0,30.22,5.48,0.02,1.86,0.04,0.55,1.34,12.13,0.11,0.33,0.27,0.07,0.17,0.07,1.22,0.20,0,0.36,0.90,0.03,0.01,0.06,0.01,0,0,0.18,0.13,0.02,0.06,0.07,0.10,0.64,0.04,0.16,0.07,1.03,3.37,0.01,0,0,0.11,0.51,0.63,0.38,
10041_23,648,5.33,234,0,0,1.85,0.15,0,0,0.15,0.31,0,0.15,0.46,0,0.31,0.46,0.31,0,0.46,0,0,4.32,0.77,35.34,3.55,0,1.54,0,0.46,1.23,10.49,0,0.15,0.31,0.77,1.23,0,0.77,0.62,0,0,1.54,0.15,0.15,0,0,0.15,0,0.31,0.15,0,0,0,0.15,1.54,0,1.54,0,0.46,4.01,0,0,0,0.46,0.31,1.23,0.15,
10041_24,359,5.19,226,0,0,0.56,0,0,0,0,0,0,0.56,0,0,0,0,0,0,2.23,0,0,4.18,0,42.34,2.23,0,1.11,0,1.67,1.67,8.64,0,0.56,0,0,0.56,0,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0.56,0,0,0,0.28,3.34,0,0,0,0,0.28,0.56,0.56,
10174_6,14292,5.12,194,0.01,0.25,1.04,0.09,0.01,0,0.20,0.16,0,0.68,0.09,0.01,0.12,0.06,0.10,0.32,1.02,0,0.13,6.56,0.02,30.61,5.23,0.06,1.51,0.05,0.45,1.16,13.13,0.10,0.30,0.30,0.31,0.42,0.06,0.83,0.34,0.01,0.27,1.11,0.04,0,0.12,0,0.01,0.01,0.47,0.16,0.01,0.02,0.14,0.10,0.83,0.08,0.48,0.04,1.02,3.84,0.03,0.05,0,0.15,0.52,0.52,0.34,
10364_10,364,5.27,180,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0.27,0,0.27,3.57,0,0,9.62,0,26.92,5.49,0,0.82,0,0.55,2.75,10.16,0,0,0,0.27,0,0,0.82,0,0,0.27,0.55,0,0,0,0,0,0,0,0,0,0.27,0,0,0.55,0,0,0,0.27,1.65,0,0,0,0,0.27,0.27,0,
10364_12,327,4.78,149,0,0,1.83,0.61,0,0,0,0,0,0,0.61,0,0,0,0,0,0.61,0,0,5.81,0,26.61,7.95,0.31,0,0,0.61,1.53,11.01,0,0,0,0.61,0,0,2.14,0,0,0.61,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,1.22,1.83,0,0,0,0,1.22,0.92,0,
10364_14,2287,5.29,199,0,0.04,0.70,0.17,0.09,0,0.04,0.13,0,0.48,0.04,0,0.04,0.13,0.09,0,1.49,0,0,6.43,0,28.55,5.68,0.04,3.67,0.17,0.39,1.66,14.87,0.26,0.52,0.26,0.09,0.31,0.22,2.06,0.17,0,0.44,2.06,0,0,0.09,0,0,0,0.22,0.13,0,0.04,0,0.31,0.79,0.13,0.22,0.22,0.66,5.82,0.09,0,0,0,0.92,0.57,0.17,
10364_15,9758,4.97,179,0.02,0.19,1.61,0.12,0,0.01,0.02,0.24,0,0.39,0.19,0,0.02,0.16,0.04,0.22,1.32,0,0,6.34,0,29.60,5.05,0.05,1.67,0.09,0.67,1.47,12.70,0.07,0.31,0.26,0.51,0.32,0.09,1.08,0.18,0.01,0.23,0.76,0.10,0,0.11,0,0,0.02,0.15,0.13,0.01,0.01,0.07,0.19,0.66,0.02,0.11,0.09,1.34,2.89,0,0.02,0,0.14,0.49,0.47,0.20,
10364_16,404,5.51,243,0,0,0.50,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,0,0,5.94,0,24.01,6.93,0,0,0,0.50,1.49,7.67,0,0,0,0,0,0,0.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.99,0,0,0,0,0.25,0.74,0,
10364_18,642,5.24,207,0,0.16,0.16,0,0,0,0,0,0,0.62,0,0,0,0.47,0,0,1.25,0,0,3.89,0.16,49.53,3.58,0,1.87,0,0.16,0.47,7.17,0,0,0.31,0.62,0.16,0,0.31,0.31,0,0,1.09,0,0,0,0,0,0,0.16,0,0,0,0,0,1.25,0,0.16,0,0.16,2.49,0,0,0,0.16,0,0.31,0,
